Year,Month,Day,Date,hour,wind speed (m/sec)
2015,1,1,1/1/2015,0,1.77
2015,1,1,1/1/2015,1,1.45
2015,1,1,1/1/2015,2,1.8
2015,1,1,1/1/2015,3,1.83
2015,1,1,1/1/2015,4,1.3
2015,1,1,1/1/2015,5,0.03
2015,1,1,1/1/2015,6,1.35
2015,1,1,1/1/2015,7,1.91
2015,1,1,1/1/2015,8,2.84
2015,1,1,1/1/2015,9,3.71
2015,1,1,1/1/2015,10,4.15
2015,1,1,1/1/2015,11,4.52
2015,1,1,1/1/2015,12,4.49
2015,1,1,1/1/2015,13,3.86
2015,1,1,1/1/2015,14,3.54
2015,1,1,1/1/2015,15,3.17
2015,1,1,1/1/2015,16,2.79
2015,1,1,1/1/2015,17,2.61
2015,1,1,1/1/2015,18,2.37
2015,1,1,1/1/2015,19,2.1
2015,1,1,1/1/2015,20,1.99
2015,1,1,1/1/2015,21,2.12
2015,1,1,1/1/2015,22,2.46
2015,1,1,1/1/2015,23,2.4
2015,1,2,2/1/2015,0,2.33
2015,1,2,2/1/2015,1,1.92
2015,1,2,2/1/2015,2,1.71
2015,1,2,2/1/2015,3,1.72
2015,1,2,2/1/2015,4,1.75
2015,1,2,2/1/2015,5,2.28
2015,1,2,2/1/2015,6,2.57
2015,1,2,2/1/2015,7,2.85
2015,1,2,2/1/2015,8,3.24
2015,1,2,2/1/2015,9,3.77
2015,1,2,2/1/2015,10,4.35
2015,1,2,2/1/2015,11,4.7
2015,1,2,2/1/2015,12,4.43
2015,1,2,2/1/2015,13,3.94
2015,1,2,2/1/2015,14,3.53
2015,1,2,2/1/2015,15,3.23
2015,1,2,2/1/2015,16,3.07
2015,1,2,2/1/2015,17,3.08
2015,1,2,2/1/2015,18,2.97
2015,1,2,2/1/2015,19,2.76
2015,1,2,2/1/2015,20,2.52
2015,1,2,2/1/2015,21,2.32
2015,1,2,2/1/2015,22,1.75
2015,1,2,2/1/2015,23,1.42
2015,1,3,3/1/2015,0,1.3
2015,1,3,3/1/2015,1,1.37
2015,1,3,3/1/2015,2,1.62
2015,1,3,3/1/2015,3,1.76
2015,1,3,3/1/2015,4,1.85
2015,1,3,3/1/2015,5,1.74
2015,1,3,3/1/2015,6,1.15
2015,1,3,3/1/2015,7,1.02
